instanța	cod	site	email	telefon	fax	program	adresa																		
Judecătoria CLUJ-NAPOCA	JudecatoriaCLUJNAPOCA	http://portal.just.ro/211/SitePages/prezentare.aspx	jud-cluj@just.ro	0264.596.110	0264.431.033	"Program audienţe pentru înregistrarea divorţurilor: Marţi orele 10.00 – 12.00
Registratura
- program cu publicul
Luni - Vineri orele 8.00 – 10.30
- program cu avocaţii, executorii judecătoreşti si instituţiile statului
Luni - Joi orele 12.30 – 14.00
Arhiva
- program cu publicul (eliberare acte şi studiu dosare) 
Luni - Joi orele 8.00 – 12.00
- program cu avocaţii, experţii judiciari (studiu dosare)
Marţi şi Joi orele 1400 - 1600
"	Cluj-Napoca, jud. Cluj, Calea Dorobanţilor, nr. 2, Cod poştal: 400117																		
Judecătoria CONSTANŢA	JudecatoriaCONSTANTA	http://portal.just.ro/212/SitePages/prezentare.aspx	judecatoria-constanta-reg@just.ro	0241.617.760	0241.619.669	...	Constanţa, str. Traian nr. 33, jud. Constanta																		
Judecătoria CORABIA	JudecatoriaCORABIA	http://portal.just.ro/213/SitePages/prezentare.aspx	judecatoria-corabia@just.ro	0249.563.991	0249.563.995	"Programul de lucru al instantei este de luni pana vineri intre orele 08,00 – 16,00, sedintele de judecata fiind programate saptamanal in zilele de marti, miercuri si joi, iar vineri din trei in trei saptamani sedinte cu arestati.
Programul arhivei instantei este de luni pana vineri intre orele 08,00 – 16,00, iar programul cu publicul, zilnic intre orele 09,00 – 13,00.
Biroul de relatii cu publicul functioneaza zilnic, intre orele 8,00 – 16,00, in ziua de luni intre orele 08,00 – 17,00.
Programul de audiente este in zilele de joi, intre orele 14-16 acordate de purtătorul d cuvânt."	Str. C. A. Rosetti nr. 53, Corabia, jud. Olt																		
Judecătoria CORNETU	JudecatoriaCORNETU	http://portal.just.ro/1748/SitePages/prezentare.aspx	ionela.pavel@just.ro	021.468.92.35	021.468.92.27	"REGISTRATURĂ
luni, marţi, miercuri, joi şi vineri – orele 09.00 – 13.00
ARHIVĂ
luni, marţi, miercuri, joi şi vineri – orele 09.00 – 13.00
BIROUL DE ASOCIAŢII ŞI FUNDAŢII
Primiri cereri /eliberări cereri
marti şi joi orele 09.00 – 13.00  
EXECUTĂRI PENALE 
marţi, miercuri şi joi orele 09.00-13.00
ÎNCUVIINŢĂRI SILITE
Primiri cereri
luni, marţi, miercuri, joi şi vineri  orele 09.00 – 13.00 registratură 
Eliberări acte
marţi, joi orele 9.00 – 12.00 cam.108
ELIBERĂRI SENTINŢE LEGALIZATE
Se depun la arhivă în zilele de luni, marţi, miercuri, joi şi vineri orele 09.00 – 13.00 la arhiva
Se eliberează în zilele de marţi şi joi orele 09.00 – 13.00 la registratura
Cererile de eliberare a certificatelor de grefă se depun zilnic de luni, marţi, miercuri, joi şi vineri la serviciul arhivă,  între orele 09.00 – 13.00 şi se eliberează în zilele de marţi şi joi la serviciul registratură, între orele 09.00 – 13.00
BIROUL DE INFORMARE ŞI RELAŢII PUBLICE
Luni, marţi, joi, vineri orele 09.00 – 13.00
Miercuri orele 09.00 – 13.00"	Cornetu, Şos. Alexandriei nr. 138, judeţ Ilfov, cod 077070																		
Judecătoria COSTEŞTI	JudecatoriaCOSTESTI	http://portal.just.ro/214/SitePages/prezentare.aspx	judecatoria-costesti@just.ro	0248.672.861	0248.672.774	"Sectorul Arhivă
9.00 – 12.00 program cu publicul
12.00 – 13.00 Avocaţi şi jurişti
Sectorul Executări penale 
9.00 – 12.00 justiţiabili, avocaţi
Judecător de serviciu
Zilnic – 9.00 – 12.00
"	Str. Victoriei nr. 72, Costeşti, jud. Argeş																		
Judecătoria CRAIOVA	JudecatoriaCRAIOVA	http://portal.just.ro/215/SitePages/prezentare.aspx	judecatoria.craiova@just.ro	0251.414.060	0251.416.206	"Judecător de serviciu: 
- camera 1 - luni - vineri - orele 9,00- 13,00; 
Eliberări recipise consemnare cauţiuni:
- camera 16 -  grefier şef - vineri - orele 13,00 - 15,30; 
Arhivă - Registratură (depunere cereri, informaţii justiţiabili):
- camera 7 - luni - vineri - orele 9,00 - 13,00;
Biroul Executări Civile şi Contravenţionale:
- camera 4 -  luni - vineri - orele 9,00 - 13,00;
Biroul Executări Penale 
- camera 4 -  luni - vineri - orele 9,00 - 13,00;
Biroul de Informare şi Relaţii Publice (pentru presă) :
-  camera 17 -  luni – marţi - joi - orele 07,30 – 15,30; miercuri  - orele 07,30 - 17,30; vineri - orele 07,30 -13,30;"	Craiova, Str. A.I.Cuza nr.20, judeţul Dolj, cod poştal 200396 																		
Judecătoria CURTEA DE ARGEŞ	JudecatoriaCURTEADEARGES	http://portal.just.ro/216/SitePages/prezentare.aspx	jud-curteadearges@just.ro	0248.722.370	0248.726.772	"Registratură: Luni - Vineri 8:30 – 12:30
Arhivă: Luni - Vineri 8:30 – 12:30, 
Miercuri – program experţi  13:30 – 15:30
JOI 15:30 – 18:30
B.R.I.P.: Luni – Vineri 8:30 – 12:30, Joi 15:30 – 18:30 
Sectorul executări civile
zilnic: 8.30-12.30
Judecător de serviciu
zilnic: 8.30-12.30"	strada Negru Vodă, nr. 83, Curtea de Argeş, jud. Arges, Cod poştal 115300																		
Judecătoria DARABANI	JudecatoriaDarabani	http://portal.just.ro/217/SitePages/prezentare.aspx	jud-darabani@just.ro	0231.631.269	0231.631.269	"1. Program de lucru instanţă: 7:30 - 15:30
2. Şedinţele de judecată se desfăşoară în zilele de:
             - marţi începând cu ora 9:30  
             - miercuri şi  joi începând cu ora 9:00.
 
3. Program judecător serviciu:
             - luni între orele 9:00 - 12:00
             - vineri între orele 9:30 - 12:30.
 
Program primire cereri în materia asociaţiilor/fundaţiilor şi asociaţiilor de proprietari: vineri, 9:30 - 12:30
Program primire acţiuni de divorţ:
- luni între orele 9:00 - 12:00
 vineri între orele 9:30 - 12:30.
4. Program arhivă:
- informaţii, studiu dosare: zilnic, 8:00 - 12:00 şi marţi, 16:00 - 18:00
- eliberări acte, copii legalizate: zilnic, 8:00 - 12:00
- eliberări acte în materia învestire cu formulă executorie: zilnic, 8:00 - 12:00
- cereri apel, recurs: zilnic, 8:00 - 16:00 .
5. Program Birou informare şi relaţii cu publicul: marţi, între orele 9:00 - 13:00 
"	Darabani, Str. 1 Decembrie, Nr. 158-160, Judeţul Botoşani																		
Judecătoria DEJ	JudecatoriaDEJ	http://portal.just.ro/219/SitePages/prezentare.aspx	jud-dej@just.ro	0264.212.110	0264.213.015	"Program audienţe pentru înregistrarea divorţurilor:
Orar registratură: Luni - Joi orele 9:00 – 12:00; Vineri  orele 9:00 – 12:00
Orar arhivă: Luni - Joi orele 9:00 – 12:00; Vineri  orele 900  - 1200
"	Dej, jud. Cluj, str. 16 Februarie, nr. 2-4, Cod poştal: 405200																		
Judecătoria DETA	JudecatoriaDETA	http://portal.just.ro/220/SitePages/prezentare.aspx	jud-deta-reg@just.ro	0256.390.982	0256.390.097	"Biroul de informare si relatii publice: 
Luni – vineri 9:00 – 13:00 si joi 16:00 – 18:00
Arhiva si registratura:
Luni – vineri 9:00 – 13:00 si joi 16:00 – 18:00
Eliberarea copiilor de arhivă, a sentinţelor cu menţiunea definitivă şi a celorlalte înscrisuri:
Marti si joi 14:00 – 15:00
"	DETA, Strada VICTORIEI, nr. 3/A, judeţul TIMIŞ, cod poştal 305200																		
Judecătoria DEVA	JudecatoriaDEVA	http://portal.just.ro/221/SitePages/prezentare.aspx	judecatoria.deva@just.ro	0254 214.332 –int 201, 0254 214.332 –int 208	0254 218.145	Luni - Vineri orele 7:30-15:30	Deva, str.1 Decembrie 1918 nr.35																		
Judecătoria DOROHOI	JudecatoriaDOROHOI	http://portal.just.ro/222/SitePages/prezentare.aspx	jud-dorohoi@just.ro	0231.611.555	0231.611.296	"1. Program de lucru instanţă: 7:30 - 15:30
2. Şedinţele de judecată încep la ora 8:30
3. Program primire cereri: zilnic, 11:00 - 15:00
4. Program arhivă:
- informaţii, studiu dosare: zilnic, 11:00 - 15:00
- eliberări acte, copii legalizate: zilnic, 11:00 - 15:00
5. Program Birou informare şi relaţii cu publicul:
- luni 07.30 -18.30
- marţi - vineri 07.30 - 15.30 "	Dorohoi, Str. Poştei, Nr. 1, jud. Botosani																		
Judecătoria DRĂGĂŞANI	JudecatoriaDRAGASANI	http://portal.just.ro/223/SitePages/prezentare.aspx	felicia.tanasie@just.ro	0250.810.631	0250.811.130	"Biroul de informaţii şi relaţii publice: 8:00 - 16:00; Joi: 16:00 - 19:00
Program de funcţionare  arhivă registratură: 9:00 – 13:00  
Program primire cereri de chemare în judecată: 10:00 – 12:00
Preşedinte  - relaţii cu publicul, audienţe ori de câte ori este nevoie
Vicepreşedinte  - relaţii cu publicul, audienţe ori de câte ori este nevoie"	Str. Gib Mihăescu nr. 25, Dragasani, jud. Valcea																		
Judecătoria DRAGOMIREŞTI	JudecatoriaDRAGOMIRESTI	http://portal.just.ro/224/SitePages/prezentare.aspx	jud-dragomiresti@just.ro	0262.337.008	0262.337.008	...	1 Decembrie 1918,nr.151, RO 437140 Dragomireşti, Jud. Maramureş																		
Judecătoria DROBETA-TURNU SEVERIN	JudecatoriaDROBETATURNUSEVERIN	http://portal.just.ro/225/SitePages/prezentare.aspx	judseverin@just.ro	0351.403.100	0252.313.052	"Program de lucru :
Registratură : în fiecare zi, de luni până vineri de la 08:30 – 12:30
Arhivă : în fiecare zi, de luni până vineri de la 08:30 - 12:30 
Biroul de relaţii şi informaţii publice: 
- luni,  marţi, joi şi vineri : 8-16
- miercuri: 8 – 19
Eliberare certificate:
- program primire cereri la serviciul registratură: zilnic 9-11
- program eliberare certificate la serviciul arhivă: zilnic ora 14
"	Bulevardul Carol I nr. 14, Drobeta-Turnu Severin, jud. Mehedinti																		
Judecătoria FĂGĂRAŞ	JudecatoriaFAGARAS	http://portal.just.ro/226/SitePages/prezentare.aspx	judecatoria-fagaras@just.ro	0268.211.159	0268.212.455	"Registratură-arhivă:
Luni-joi,  între orele 08,00 – 12,00
Vineri, între orele     09,00 – 11,00 
Biroul de informare şi relaţii publice:
Luni, marţi, joi, vineri între orele 08,00 – 16,00
Miercuri    între orele 08,00 – 19,00
Biroul de executări penale:
Luni – vineri între orele 08,00 – 16,00"	Str. Doamna Stanca nr. 27, Fagaras, jud. Brasov																		
Judecătoria FĂGET	JudecatoriaFAGET	http://portal.just.ro/832/SitePages/prezentare.aspx	monica.cozac@just.ro	0256-320962	0256-320962	...	FAGET , str. 1 Decembrie 1918 nr. 3 , jud. Timis																		
Judecătoria FĂLTICENI	JudecatoriaFALTICENI	http://portal.just.ro/227/SitePages/prezentare.aspx	jud-falticeni@just.ro	0230-544363	0230-540028	"Birou Arhivă -Registratură
Luni – Vineri 09:00-13:00
Birou Arhivă – Registratură
- studiere dosare şi registre ale instanţei;
- eliberare copii acte,  hotărâri judecătoreşti;
- primire cereri eliberare certificate de grefă;
Luni – Vineri 9:00-13:00
Birou Arhivă – Registratură
- eliberare certificate de grefă
Vineri 09:00-13:00
Birou Arhivă – Registratură
Program exclusiv pentru avocaţi şi experţi judiciari pentru  studiere dosare
Luni – Vineri 13:00-14:00
Birou de Informare şi  Relaţii Publice
Luni – Vineri 9:00-13:00; Joi 15:00-18:00
Birou persoane juridice
Joi 09:00-13:00
Grefier şef
Joi 09:00-13:00
Birou Executări Penale
Luni – Vineri 9:00-13:00
Birou Executări Civile/Silite
Luni – Vineri 9:00-13:00"	Falticeni, Str. Nicu Gane F.N., cod 725200, jud. Suceava																		
Judecătoria FĂUREI	JudecatoriaFAUREI	http://portal.just.ro/228/SitePages/prezentare.aspx	teodora.vlad@just.ro	0239/661320	0239/661320	7:30 - 15:30	Faurei, Str. Păcii nr. 7, jud. Braila																		
Judecătoria FETEŞTI	JudecatoriaFETESTI	http://portal.just.ro/229/SitePages/prezentare.aspx	jud-fetesti@just.ro	0243 369683 	0243 368768	"Program de funcţionare a Judecătoriei Feteşti
Luni-Vineri: 8:00 -16:00
Program relaţii cu publicul (arhivă)
Eliberări copii legalizate de pe hotărâri judecătoreşti sau înscrisuri (cu menţiunea că nu se vor elibera în ziua depunerii): Marţi, joi: 12:00 -14:00
Primiri acte şi cereri de orice natură, eliberări alte acte: Luni-Vineri: 8:00 -12:00
Program judecător de serviciu
Luni-Vineri: 8:00 -12:00
Biroul de informare şi relaţii publice
Luni-Miercuri: 8:00 -16:00; Joi: 16:00 -19:00; Vineri: 8:00 -16:00
"	Feteşti, str. Călăraşi, nr. 422, cod poştal: 920051, judeţul Ialomiţa																		
Judecătoria FILIAŞI	JudecatoriaFILIASI	http://portal.just.ro/230/SitePages/prezentare.aspx	judecatoria.filiasi@just.ro	0251/441687	0251/441687	"PROGRAM DE LUCRU CU PUBLICUL
În sala de şedinţă, începând cu ora 8:30.
Arhiva (consultare dosare):
Luni - Marţi  - orele: 8:30 - 12:30
Miercuri - 8:30 - 12:30; 13:00 - 15:00
Joi - Vineri - 8:30 - 12:30
PROGRAMUL  BIROULUI DE RELAŢII CU PUBLICUL
CAMERA 1:
Luni, Marţi, Joi - 8:30 - 12:30
Miercuri - 14:30 - 17:30
"	str. Racoţeanu nr. 208, Filiaşi, jud. Dolj																		
Judecătoria FOCŞANI	JudecatoriaFOCSANI	http://portal.just.ro/231/SitePages/prezentare.aspx	jud-focsani@just.ro	0237/214000	0337/818803	"Program de lucru : 8,00-16,00
Coordonator activitate Birou de informare şi relaţii publice – judecător Păun Ionel Iulian: program luni, marţi, joi, vineri intre orele 8,00-16,00, miercuri între orele 8,00- 18,00.
Orar registratură: Luni - Vineri orele 8,30 - 12,30
Orar arhivă: 8,30 - 12,30
"	Focsani, str. Republicii, nr. 96, jud. Vrancea																		
Judecătoria GĂEŞTI	JudecatoriaGAESTI	http://portal.just.ro/232/SitePages/prezentare.aspx	jud-gaesti@just.ro	0245/710375	0245/712125	"Arhiva, registratura, executari penale
Luni – vineri 9,00 – 13,00
Grefier sef 
Luni - vineri 9,00 – 15,00
Biroul de informare si relatii publice
Luni, marti, joi, vineri 9.00 - 14.00
Miercuri 9.00 - 19.00
"	Str. Nicolae Titulescu nr. 13, Gaesti, jud. Dambovita, Cod Postal 135200																		
Judecătoria GALAŢI	JudecatoriaGALATI	http://portal.just.ro/233/SitePages/prezentare.aspx	jud-galati-com@just.ro	0236/460331	0236/460331	"Demisol
Arhiva civilă curentă – camera d13
Luni – joi, între orele 9.00 -12,30
Biroul de informare şi relaţii publice şi audienţe – camera d13 bis
Luni – joi, între orele 9.00 -12,30
Audienţe – camera d13 bis
Luni, orele 15,00, cu înscriere în aceeaşi zi, între orele 14,00 -15.00
Biroul de asociaţii, fundaţii, sindicate - camera d13 bis
Luni – joi, între orele 13.00 -15.00
Arhiva penală – camera d10
Luni – joi, între orele 9.00 -12,30
Arhiva veche – camera d19
Marţi şi joi, între orele 9,00 – 12,30
 
Parter
Registratura şi birou primiri acţiuni – camera p 25
Luni – joi, între orele 9.00 – 12,30, având prioritate reprezentanţii instituţiilor, avocaţii, consilierii juridici şi experţii
Radieri gajuri – camera p15
Miercuri – primiri acte între orele 9,00 – 10.00
Vineri – eliberări acte între orele 9.00 – 10.00
 
Etajul ii
Executări silite – camera 207
Luni şi miercuri – între orele 10.00 – 12.00
Executări civile şi contravenţionale – camera 207
Luni – joi între orele 9.00 -12.00
Executări penale – camera 228
Luni şi joi , între orele 10.00 -12.00
Depuneri şi eliberări recipise – camera 201
Depuneri recipise
Zilnic, între orele 8,30 – 15,30
Eliberări recipise
Miercuri, între orele 9.00 – 12.00
"	Str. Brăilei nr. 153, Localitatea Galaţi, Judeţul Galaţi, cod postal 800367																		
Judecătoria GHEORGHENI	JudecatoriaGHEORGHENI	http://portal.just.ro/234/SitePages/prezentare.aspx	judecatoria-gheorgheni@just.ro	0266-364.902	0266-365.204	Arhivă - Registratură: Luni - Vineri: 08:00 - 12:00	str. Kossuth Lajos, nr. 4, mun. Gheorgheni, jud. Harghita, cod 535500																		
Judecătoria GHERLA	JudecatoriaGHERLA	http://portal.just.ro/235/SitePages/prezentare.aspx	jud-gherla@just.ro	0264-243251	0264-243773	"Program audienţe pentru înregistrarea divorţurilor:
Orar registratură: Luni - Vineri orele 8:00 – 12:00
Orar arhivă: Luni - Vineri orele 8:00 – 12:00
"	Gherla, jud. Cluj, str. Bobâlna nr. 55, Cod poştal: 405300																		
Judecătoria GIURGIU	JudecatoriaGIURGIU	http://portal.just.ro/236/SitePages/prezentare.aspx	jud-giurgiu@just.ro	0246 / 212.725	0246 / 213.307	"Arhivă - Registratură 
Program cu publicul Luni - Vineri orele 09:00 – 13:00
Birou de informare şi relaţii publice  
Program cu publicul Luni - Vineri orele 09:00 - 13:00
Joi orele 09:00 – 13:00 orele 16:00 – 18:00                                                                                   
Federaţii, asociaţii şi Fundaţii
Program cu publicul 
Marţi orele 9:00 – 12:00
Miercuri orele 9:00 – 12:00
Vineri orele 9:00 – 12:00
Biroul Local de Expertize Tehnice şi Contabile
Tribunalul Giurgiu
Program cu publicul
Luni – Vineri orele 8:30 – 13:00
"	Giurgiu, Str. Episcopiei Nr. 13, Judeţul Giurgiu																		
Judecătoria GURA HONŢ	JudecatoriaGURAHONT	http://portal.just.ro/238/SitePages/prezentare.aspx	jd-gurahont@just.ro	0257/316.116	0257/316.560	"Arhiva 
Luni-Vineri 8:30-12:30 
joi 8:30-12:30 ; 14:00 - 15:30 
Registratura 
Luni-Vineri 8:30-12:30 
Joi 8:30-12:30; 14:00- 15:30 
Judecator de serviciu 
Luni-Vineri 8:30-12:30 
Joi 8:30-12:30 ; 14:00 - 15:30
Fundaţii, asociaţii, sindicate 
Luni-Vineri 8:00-15:30 
Biroul de informaţii publice 
Luni-Vineri 8:00-15:30 
Joi 8:00-15:30 ; 15:30-19:00 
Pentru primirea acţiunii de divorţ 
Luni-Vineri 8:00-15:30
"	Gura Hont, Str: Crişan, nr. 12, jud. Arad																		
Judecătoria GURA HUMORULUI	JudecatoriaGURAHUMORULUI	http://portal.just.ro/237/SitePages/prezentare.aspx	jud-gurahumorului@just.ro	0230-232422, 0230-230967	0230-232422	"Programul de lucru al instanţei, începe la ora 8,00 şi se termină la ora 16,00.
La Judecătoria Gura Humorului şedinţele de judecată se desfăşoară în fiecare zi a săptămânii, de luni până vineri, conform programării, începând cu ora 9,00.
Program de audienţe: nu este prevăzut în Regulamentul de ordine interioară.
Accesul publicului este permis în incinta instanţei de la ora 7,30 iar în sălile de judecată cu 30 de minute înainte de deschiderea şedinţei de judecată.
Programul şedinţelor de judecată şi cel de primire a publicului vor fi afişate la loc vizibil. Este interzis accesul altor persoane decât personalul angajat, în alte birouri şi la alte ore decât cele stabilite, precum şi în incinta instanţei, după terminarea programului de lucru.
"	B-dul Bucovina, nr. 21, Gura Humorului, jud. Suceava, cod poştal 725300																		
Judecătoria HÂRLĂU	JudecatoriaHARLAU	http://portal.just.ro/239/SitePages/prezentare.aspx	jud-hirlau-reg@just.ro	0232-722344	0232-722622	"Birou asociatii si fundatii 
program:  luni - vineri - orele 09.00-  13.00
Registratura
program cu publicul luni - vineri - orele 09.00 - 13.00
Arhiva curentă 
program cu publicul: luni - vineri - orele 09.00 - 13.00
Executări penale
program cu publicul: luni orele 10.00 - 14.00 
Biroul de informare şi relaţii cu publicul
program cu publicul:  zilnic orele 08.00 - 16.00; luni orele 16.00 - 19.00
"	str. Gheorghe Doja nr. 1, Oraş Hîrlău, judeţul Iaşi																		
Judecătoria HÂRŞOVA	JudecatoriaHARSOVA	http://portal.just.ro/842/SitePages/prezentare.aspx	jud-harsova-reg@just.ro	0241-871 500	0241-871 717	"Program de funcţionare al instanţei cu publicul:
9,00 – 13,00 de luni pana vineri inclusiv"	Str. Sos. Constanţei, nr. 4A, Oraşul Hârşova, Judeţul Constanţa																		
Judecătoria HAŢEG	JudecatoriaHATEG	http://portal.just.ro/240/SitePages/prezentare.aspx	judecatoria.hateg@just.ro	0254 770.922	0254 770.922	"Programul instantei Hateg
Luni – vineri 7:30 -15:30
Programul arhivei
Luni – vineri 8:30 -12:30
Programul registraturii
Luni – vineri 8:30 – 12:30
"	Hateg, str.Mihai Viteazu nr.9, judeţ Hunedoara																		
Judecătoria HOREZU	JudecatoriaHOREZU	http://portal.just.ro/241/SitePages/prezentare.aspx	jud-horezu@just.ro	(0250)860879	(0250)860716	08 - 16	Str. 1 Decembrie nr. 8, Horezu, Vâlcea																		
Judecătoria HUEDIN	JudecatoriaHUEDIN	http://portal.just.ro/242/SitePages/prezentare.aspx	jud-huedin@just.ro	0264-351788	0264-353160	...	Huedin, jud. Cluj, str. Avram Iancu, nr. 2, Cod poştal: 405400																		
Judecătoria HUNEDOARA	JudecatoriaHUNEDOARA	http://portal.just.ro/243/SitePages/prezentare.aspx	judecatoria.hunedoara@just.ro	0254 712.438 –int.16	0254 712.438	"Programul de funcționare al Instanței
LUNI – VINERI 08:00 – 16:00
Arhivă – Registratură
LUNI – VINERI 08:00 – 09:00 și 10:00 – 13:00
"	Hunedoara, str.Victoriei nr.10, jud. Hunedoara																		
Judecătoria HUŞI	JudecatoriaHUSI	http://portal.just.ro/244/SitePages/prezentare.aspx	alina_balan@just.ro	0235-480347	0235-470200	Program cu publicul la Biroul registratură şi arhivă 9.00 – 13.00	Str. Al. Giugaru nr. 1, Husi, jud. Vaslui																		
Judecătoria IAŞI	JudecatoriaIASI	http://portal.just.ro/245/SitePages/prezentare.aspx	jud-iasi-pgref@just.ro	0232/211250, 0232261581	0232/255914, 0232/232308	"Biroul de Informare şi Relaţii Publice şi de soluţionare a petiţiilor (situat in Sectia penala, demisol) : 
Joi: 09.00 - 13.00; 16.00-19.00
Luni - Miercuri şi Vineri : 09.00 - 13.00
Arhivele curente ale celor doua sectii : 
Luni - Miercuri si Vineri : 09.00 - 13.00 
Joi : 09.00 - 13.00; 16.00 - 18.00
Registratura instanţei (situată în secţia civilă a Judecătoriei Iaşi, la subsol) :
Luni - Vineri : 9.00 - 13.00
"	SECŢIA CIVILĂ - Iasi,str.Grigore Ureche, nr.3, bl. Gheorghe Sontu, parter; SECŢIA PENALĂ - Iaşi, str. Sf. Lazăr nr. 2																		
Judecătoria INEU	JudecatoriaINEU	http://portal.just.ro/246/SitePages/prezentare.aspx	jd-ineu@just.ro	0257.511.309	0257/513.894	Luni - Vineri 8:00 - 16:00	Str: Narciselor, nr. 7, Cod poştal: 315300, Ineu, jud. Arad																		
Judecătoria ÎNSURĂŢEI	JudecatoriaINSURATEI	http://portal.just.ro/247/SitePages/prezentare.aspx	jud-insuratei@just.ro	0239/660171	0239/660171	LUNI - VINERI 07.30 - 15.30	Str. Lacul Rezii nr. 97, Insuratei, jud. Braila																		
Judecătoria ÎNTORSURA BUZĂULUI	JudecatoriaINTORSURABUZAULUI	http://portal.just.ro/248/SitePages/prezentare.aspx	jud.intbuzaului@just.ro	0267371597	0267370254	"ARHIVĂ-REGISTRATURĂ, situată la parter camera 8, după următorul program:                   
LUNI orele 8,30 – 15,30
MARTI orele 8,30 – 13,00
MIERCURI orele 8,30 – 13,00                 
JOI orele 8,30 – 13,00
VINERI orele 8,30 – 12,00
"	Str. Hanului nr. 4, Intorsura Buzaului, jud. Covasna																		
Judecătoria JIBOU	JudecatoriaJIBOU	http://portal.just.ro/1752/SitePages/prezentare.aspx	jud-jibou@just.ro	0260-64.41.17	0260-64.41.17	"Program de lucru: zilnic – orele 08:00 – 16:00
Compartiment Registratură – Arhivă   
Program cu publicul: zilnic – 09:00-13:00"	Jibou, str.1 Mai, nr. 4, jud. Sălaj																		
Judecătoria LEHLIU-GARA	JudecatoriaLEHLIUGARA	http://portal.just.ro/249/SitePages/prezentare.aspx	jud-lehliugara@just.ro	0242 / 640 823	0242 / 640 689	"Program cu publicul:
Arhivă:
Luni - vineri: 09:00 - 13:00"	Lehliu Gară, Str. Pompierilor nr. 3-4, cod poştal 915300, jud. Calarasi																		
Judecătoria LIEŞTI	JudecatoriaLIESTI	http://portal.just.ro/838/SitePages/prezentare.aspx	cerasela.dinescu@just.ro	0236/821738	0236/821738	"Programarea şedinţelor de judecată a judecătorilor se face în raport de necesităţile instanţei, asigurându-se acestora şi timpul necesar pregătirii profesionale.
Şedinţele de judecată vor începe , de regulă la ora 8,30 putând fi fixate şi şedinţe succesive, iar în cazuri justificate şi după-amiaza.
Ora de chemare a părţilor în faţa instanţei se va fixa în funcţie de programarea şedinţelor de judecată.
Accesul publicului este permis:
-în incinta instanţelor, pe timpul programului de lucru, în locurile permise;
-în sălile de şedinţă, cu 30 minute, înainte de deschiderea şedinţelor de judecată.
-în birourile unde îşi desfăşoară activitatea persoanele la care se referă art. 82., în timpul orelor de primire, iar la arhivă şi registratură, în cadrul programului stabilit.
Programul şedinţelor de judecată şi cel de primire a publicului, precum şi cel de acces la arhivă şi registratură sunt aduse la cunoştinţă prin afişare la loc vizibil.
Este interzis accesul altor persoane , cu excepţia personalului intanţei în alte birouri şi alte ore decât cele stabilite, precum şi în incinta instanţei după terminarea programului de lucru."	Str. Primăriei nr. 1154, Localitatea Lieşti, judeţul Galaţi																		
Judecătoria LIPOVA	JudecatoriaLIPOVA	http://portal.just.ro/250/SitePages/prezentare.aspx	jd-lipova@just.ro	0257-563-131	0257-561-886	"Arhivă
luni - vineri : 8.30-12.30
joi : 8.30-12.30 14.00-16.00
Registratură
luni - vineri : 8.30-12.30
joi : 8.30-12.30 14.00-16.00
Biroul de informare şi relaţii publice
luni - vineri : 8.00-16.00
luni : 8.00-16.00; 16.00-19.00
"	Str. Sava Brancovici nr. 27, Lipova judeţul Arad																		
Judecătoria LUDUŞ	JudecatoriaLUDUS	http://portal.just.ro/251/SitePages/prezentare.aspx	judecatoria.ludus@just.ro	0265 411095	0265 413531	...	Oraşul LUDUŞ, Judetul MURES, Strada Republicii, nr. 59, cod poştal 545200																		
Judecătoria LUGOJ	JudecatoriaLUGOJ	http://portal.just.ro/252/SitePages/prezentare.aspx	jud-lugoj@just.ro	0256 / 352372	0256 / 358838	"Programul cu publicul
Arhiva : luni - joi 8.30 - 12.30
Miercuri 14.00 - 16.00
Registratura : luni - vineri 8.30 - 12.30"	Lugoj, Str. 20 Decembrie 1989 nr. 13 , cod postal 305500, Judetul Timis																		
Judecătoria MACIN	JudecatoriaMACIN	http://portal.just.ro/253/SitePages/prezentare.aspx	judecatoria-macin@just.ro	0240/573128	0240/573129	"Compartiment arhivă-registratură - Program:
08:00 - 13:00"	Str. George Cosbuc, Macin, Tulcea, Cod Postal: 825300																		
Judecătoria MANGALIA	JudecatoriaMANGALIA	http://portal.just.ro/254/SitePages/prezentare.aspx	jud-mangalia-reg@just.ro	0241/755.567, 0241/755.768	0241/754.506	"Program cu publicul:
Compartimentul arhiva civilă: luni- vineri : orele 9:00-13:00 
Compartimentul arhiva penală : luni- vineri : orele 9:00-13:00 
Registratura -primiri acte : luni-vineri : orele  10:00-12:00 (camera nr 9) sau pe adresa de mail
Program - biroul de informaţii şi relaţii cu publicul:
Luni, miercuri, joi şi vineri : orele 8:00-16:00 
Marţi 8:00-19:00"	Strada Mircea cel Bătrân,  numărul 4, Municipiul Mangalia,  Judeţul Constanţa, cod poştal 905500																		
Judecătoria MARGHITA	JudecatoriaMARGHITA	http://portal.just.ro/255/SitePages/prezentare.aspx	jud-marghita@just.ro	0259 – 363834 ; 0359 – 439040	0259 – 362527, 0259 - 362461	"Programul de lucru cu experţii judiciari: 
MARŢI 14.00 – 16.00
JOI 14.00 – 16.00               
Programul de lucru : zilnic orele 8.00 – 16.00, timp de 5 zile pe săptămână.
Compartimentul arhivă - registratură  şi Biroul de informare  şi relaţii cu publicul 
- luni - joi orele  09 – 13,00; 
- vineri orele 08-   12,00;"	Marghita, strada Tudor Vladimirescu, nr. 2, judeţul Bihor, cod 415300																		
